	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
G_FGS1_1	FGS1 - 1.d	10/11/2020 (3) 11:15:40.00	10/11/2020 (3)	11:15:40.00	35.036	FGS1 - 1.d	8.63E+06	0.38E+06	5.746	0.099	25670	110	1524.9	5.9	1013.9	4.2	61430	260	61760	320	76.8	1.2	45.04	0.31	536.7	6.2	7.693	0.072	59.03	0.33	47.26	0.27	20.08	0.24	43.12	0.51	4.265	0.046	5.124	0.069	5.11	0.11	2.943	0.071	5.014	0.078	FILENAME: FGS1 - 1.csv																				
G_FGS1_2	FGS1 - 2.d	10/11/2020 (3) 11:17:09.00	10/11/2020 (3)	11:17:09.00	35.036	FGS1 - 2.d	8.60E+06	0.39E+06	5.88	0.12	25710	120	1525.9	5.9	1014.2	4.4	61490	280	61560	340	76.7	1.2	45.32	0.34	539.5	4.6	7.639	0.080	58.65	0.32	47.30	0.28	19.73	0.23	43.01	0.45	4.237	0.055	5.110	0.064	5.00	0.11	2.976	0.057	5.031	0.086	FILENAME: FGS1 - 2.csv																				
G_FGS1_3	FGS1 - 3.d	10/11/2020 (3) 11:18:44.00	10/11/2020 (3)	11:18:44.00	35.034	FGS1 - 3.d	8.64E+06	0.39E+06	5.711	0.095	25720	120	1524.0	7.3	1016.1	4.9	61610	270	61950	340	77.9	1.1	45.56	0.37	539.3	4.8	7.675	0.083	59.16	0.35	47.43	0.31	20.16	0.27	43.11	0.45	4.289	0.047	5.178	0.067	5.34	0.11	2.980	0.067	5.046	0.077	FILENAME: FGS1 - 3.csv																				
G_FGS1_4	FGS1 - 4.d	10/11/2020 (3) 11:47:05.00	10/11/2020 (3)	11:47:05.00	35.035	FGS1 - 4.d	8.46E+06	0.38E+06	5.73	0.11	25750	120	1524.4	7.8	1015.8	4.6	61630	290	62080	330	76.3	1.0	45.61	0.41	553.5	6.3	7.675	0.074	58.97	0.32	47.53	0.31	20.17	0.24	43.10	0.60	4.280	0.051	5.221	0.060	5.11	0.13	2.983	0.074	5.007	0.086	FILENAME: FGS1 - 4.csv																				
G_FGS1_5	FGS1 - 5.d	10/11/2020 (3) 12:07:25.00	10/11/2020 (3)	12:07:25.00	35.036	FGS1 - 5.d	8.51E+06	0.39E+06	5.791	0.091	25720	110	1515.1	6.3	1012.4	3.9	61630	240	62030	280	76.2	1.0	45.29	0.35	564.4	5.6	7.675	0.076	59.13	0.30	47.46	0.23	19.84	0.25	42.62	0.44	4.233	0.046	5.201	0.059	5.10	0.14	3.009	0.065	4.970	0.071	FILENAME: FGS1 - 5.csv																				
G_FGS1_6	FGS1 - 6.d	10/11/2020 (3) 12:32:39.00	10/11/2020 (3)	12:32:39.00	35.034	FGS1 - 6.d	8.44E+06	0.39E+06	5.69	0.10	25710	120	1514.2	6.8	1010.0	4.5	61650	260	61660	330	75.8	1.4	45.25	0.37	566.6	6.2	7.724	0.089	58.79	0.27	47.10	0.27	19.90	0.22	42.76	0.43	4.172	0.048	5.205	0.054	5.03	0.13	2.972	0.067	5.084	0.073	FILENAME: FGS1 - 6.csv																				
G_FGS1_7	FGS1 - 7.d	10/11/2020 (3) 12:56:25.00	10/11/2020 (3)	12:56:25.00	35.035	FGS1 - 7.d	8.39E+06	0.38E+06	5.819	0.091	25900	130	1511.7	7.6	1011.6	4.3	61450	260	61570	330	77.2	1.1	45.49	0.33	574.6	5.9	7.575	0.077	58.75	0.37	47.16	0.33	19.84	0.26	42.73	0.48	4.256	0.055	5.162	0.059	5.26	0.13	2.888	0.077	4.938	0.071	FILENAME: FGS1 - 7.csv																				
G_FGS1_8	FGS1 - 8.d	10/11/2020 (3) 13:18:24.00	10/11/2020 (3)	13:18:24.00	35.036	FGS1 - 8.d	8.38E+06	0.37E+06	5.83	0.10	25770	110	1508.8	7.2	1013.5	3.8	61900	220	62420	280	77.1	1.4	45.39	0.36	570.6	5.5	7.64	0.10	59.32	0.28	47.40	0.29	19.97	0.24	42.93	0.50	4.283	0.051	5.204	0.068	5.11	0.11	2.957	0.066	4.921	0.072	FILENAME: FGS1 - 8.csv																				
G_FGS1_9	FGS1 - 9.d	10/11/2020 (3) 13:46:58.00	10/11/2020 (3)	13:46:58.00	35.036	FGS1 - 9.d	8.26E+06	0.37E+06	5.66	0.11	25660	120	1504.1	6.1	1017.5	3.7	61870	260	61780	290	76.6	1.2	45.46	0.35	557.5	5.3	7.741	0.080	59.09	0.27	47.62	0.30	20.02	0.25	43.75	0.52	4.253	0.051	5.238	0.063	5.13	0.13	2.981	0.067	4.974	0.078	FILENAME: FGS1 - 9.csv																				
G_FGS1_10	FGS1 - 10.d	10/11/2020 (3) 13:48:27.00	10/11/2020 (3)	13:48:27.00	35.036	FGS1 - 10.d	8.26E+06	0.37E+06	5.69	0.11	25710	140	1510.3	7.5	1018.4	4.3	61900	300	61690	350	76.67	0.98	45.95	0.36	552.7	5.2	7.602	0.085	59.15	0.32	47.21	0.31	20.02	0.22	43.67	0.48	4.273	0.047	5.186	0.067	5.29	0.14	2.962	0.074	5.047	0.083	FILENAME: FGS1 - 10.csv																				
G_FGS1_11	FGS1 - 11.d	10/11/2020 (3) 13:50:00.00	10/11/2020 (3)	13:50:00.00	35.036	FGS1 - 11.d	8.24E+06	0.37E+06	5.69	0.10	25770	130	1510.2	7.0	1017.1	3.6	61750	290	62130	330	75.7	1.3	45.52	0.28	558.1	5.7	7.593	0.081	59.65	0.26	47.45	0.27	20.31	0.27	43.74	0.48	4.285	0.060	5.206	0.060	5.16	0.12	3.021	0.076	5.030	0.077	FILENAME: FGS1 - 11.csv																				
																																																																			
G_FGS2_1	FGS2 - 1.d	10/11/2020 (3) 11:20:17.00	10/11/2020 (3)	11:20:17.00	35.036	FGS2 - 1.d	8.36E+06	0.37E+06	25.52	0.24	25160	140	7406	33	4937	19	59980	300	60340	320	369.6	3.1	220.3	1.2	2611	17	37.93	0.22	265.2	1.3	229.3	1.1	97.28	0.69	205.6	1.5	19.07	0.16	23.91	0.18	25.71	0.33	14.64	0.17	23.44	0.23	FILENAME: FGS2 - 1.csv																				
G_FGS2_2	FGS2 - 2.d	10/11/2020 (3) 11:21:58.00	10/11/2020 (3)	11:21:58.00	35.036	FGS2 - 2.d	8.33E+06	0.37E+06	25.45	0.26	25180	130	7414	32	4945	20	60200	270	60660	380	368.3	2.8	219.0	1.3	2599	20	37.75	0.20	265.4	1.4	229.25	0.98	97.36	0.73	206.5	1.5	19.19	0.14	23.89	0.19	25.87	0.33	14.44	0.15	23.24	0.19	FILENAME: FGS2 - 2.csv																				
G_FGS2_3	FGS2 - 3.d	10/11/2020 (3) 11:23:25.00	10/11/2020 (3)	11:23:25.00	35.035	FGS2 - 3.d	8.37E+06	0.38E+06	25.32	0.25	25210	110	7444	29	4931	15	60110	260	60420	330	366.6	3.1	219.6	1.1	2616	15	37.83	0.21	265.9	1.1	229.16	0.96	96.93	0.71	207.6	1.1	19.00	0.13	23.99	0.15	25.87	0.31	14.37	0.15	23.20	0.20	FILENAME: FGS2 - 3.csv																				
G_FGS2_4	FGS2 - 4.d	10/11/2020 (3) 11:48:34.00	10/11/2020 (3)	11:48:34.00	35.036	FGS2 - 4.d	8.23E+06	0.37E+06	25.44	0.28	25280	120	7440	33	4961	16	60390	280	60610	310	369.2	3.3	220.5	1.3	2696	16	37.93	0.20	265.4	1.1	231.2	1.0	97.07	0.77	205.3	1.1	19.10	0.12	24.13	0.15	26.11	0.29	14.52	0.16	23.16	0.21	FILENAME: FGS2 - 4.csv																				
