	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
G_FGS1_1	FGS1 - 1.d	13/09/2019 (6) 12:35:11.00	13/09/2019 (6)	12:35:11.00	35.035	FGS1 - 1.d	8.27E+06	0.30E+06	5.786	0.096	25830	140	1499.3	8.2	1029.4	3.0	61550	360	61870	400	76.0	1.2	45.49	0.33	504.8	4.0	7.564	0.074	59.02	0.36	47.12	0.31	20.19	0.19	43.73	0.48	4.239	0.041	5.199	0.048	5.109	0.086	2.939	0.047	4.931	0.057	FILENAME: FGS1 - 1.csv																				
G_FGS1_2	FGS1 - 2.d	13/09/2019 (6) 12:36:47.00	13/09/2019 (6)	12:36:47.00	35.036	FGS1 - 2.d	8.29E+06	0.29E+06	5.692	0.097	25870	130	1499.0	7.7	1030.3	3.0	61520	320	61920	390	77.1	1.1	45.89	0.31	509.4	4.6	7.736	0.069	59.38	0.32	47.63	0.29	20.34	0.21	43.51	0.42	4.304	0.035	5.142	0.049	5.034	0.079	2.977	0.051	5.005	0.055	FILENAME: FGS1 - 2.csv																				
G_FGS1_3	FGS1 - 3.d	13/09/2019 (6) 13:00:28.00	13/09/2019 (6)	13:00:28.00	35.036	FGS1 - 3.d	8.10E+06	0.29E+06	5.88	0.11	26010	140	1511.5	9.6	1016.7	3.2	62060	340	61700	380	75.6	1.2	45.71	0.33	497.9	4.2	7.532	0.071	59.24	0.38	47.32	0.32	20.14	0.18	43.03	0.40	4.267	0.047	5.148	0.057	5.162	0.083	2.954	0.044	4.953	0.060	FILENAME: FGS1 - 3.csv																				
G_FGS1_4	FGS1 - 4.d	13/09/2019 (6) 13:22:36.00	13/09/2019 (6)	13:22:36.00	35.036	FGS1 - 4.d	7.97E+06	0.30E+06	5.75	0.11	25920	130	1499.1	8.4	1010.8	3.5	61490	360	61690	390	75.6	1.0	45.12	0.35	496.7	4.0	7.758	0.076	58.60	0.36	46.92	0.30	19.93	0.20	43.34	0.44	4.263	0.045	5.129	0.052	5.07	0.10	2.907	0.050	4.955	0.060	FILENAME: FGS1 - 4.csv																				
G_FGS1_5	FGS1 - 5.d	13/09/2019 (6) 13:44:44.00	13/09/2019 (6)	13:44:44.00	35.036	FGS1 - 5.d	7.92E+06	0.29E+06	5.656	0.091	26030	140	1495.4	8.3	1008.5	3.4	61650	340	61770	380	77.0	1.1	45.69	0.33	500.8	4.4	7.579	0.074	58.87	0.33	47.00	0.30	20.06	0.19	43.18	0.44	4.266	0.045	5.126	0.053	5.064	0.085	3.009	0.055	4.949	0.062	FILENAME: FGS1 - 5.csv																				
G_FGS1_6	FGS1 - 6.d	13/09/2019 (6) 14:06:52.00	13/09/2019 (6)	14:06:52.00	35.036	FGS1 - 6.d	7.93E+06	0.29E+06	5.89	0.11	26150	140	1499.7	9.5	1007.7	3.6	61840	330	61830	380	77.0	1.2	45.49	0.31	499.0	4.9	7.697	0.079	59.27	0.33	47.48	0.31	19.88	0.21	43.31	0.36	4.258	0.041	5.111	0.059	5.184	0.092	2.986	0.059	4.976	0.070	FILENAME: FGS1 - 6.csv																				
G_FGS1_7	FGS1 - 7.d	13/09/2019 (6) 14:29:02.00	13/09/2019 (6)	14:29:02.00	35.036	FGS1 - 7.d	7.99E+06	0.28E+06	5.652	0.092	26280	150	1492.5	8.0	1009.3	3.8	61830	320	61980	370	76.2	1.2	45.31	0.38	504.6	4.6	7.659	0.078	59.16	0.35	47.46	0.32	19.97	0.23	42.83	0.43	4.300	0.046	5.150	0.044	5.080	0.082	2.943	0.055	4.965	0.055	FILENAME: FGS1 - 7.csv																				
G_FGS1_8	FGS1 - 8.d	13/09/2019 (6) 14:30:37.00	13/09/2019 (6)	14:30:37.00	35.036	FGS1 - 8.d	7.87E+06	0.33E+06	5.79	0.11	26150	130	1495.6	8.9	1011.8	3.5	61210	350	61410	400	77.0	1.2	45.52	0.34	502.4	4.0	7.617	0.083	58.69	0.37	46.70	0.34	19.78	0.18	42.96	0.42	4.261	0.040	5.066	0.047	5.13	0.10	2.965	0.054	5.012	0.062	FILENAME: FGS1 - 8.csv																				
G_FGS1_9	FGS1 - 9.d	13/09/2019 (6) 14:54:19.00	13/09/2019 (6)	14:54:19.00	35.036	FGS1 - 9.d	8.03E+06	0.30E+06	5.712	0.086	26270	130	1492.0	7.6	1004.8	3.8	61990	310	61700	410	75.6	1.2	44.98	0.33	501.2	4.7	7.663	0.075	59.11	0.34	47.00	0.30	20.18	0.20	42.91	0.39	4.248	0.038	5.124	0.051	5.142	0.094	2.920	0.050	5.035	0.070	FILENAME: FGS1 - 9.csv																				
G_FGS1_10	FGS1 - 10.d	13/09/2019 (6) 15:16:28.00	13/09/2019 (6)	15:16:28.00	35.036	FGS1 - 10.d	8.06E+06	0.28E+06	5.804	0.099	26190	150	1490.7	8.1	1007.2	3.8	61520	320	61590	370	76.2	1.1	45.19	0.30	509.5	4.9	7.559	0.082	59.05	0.34	47.40	0.32	20.04	0.19	43.11	0.37	4.256	0.039	5.121	0.056	5.15	0.11	2.949	0.048	5.010	0.058	FILENAME: FGS1 - 10.csv																				
