X1	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Not useable	Ablation time
G_NIST612_GeoREM_1	Nist 612 - 1.d	03/03/2017 (6) 11:43:37.00	03/03/2017 (6)	1899-12-31T11:43:37Z	31.832	Nist 612 - 1.d	5430000	230000	40.08	0.42	68	0.48	10735	44	65.900000000000006	1.8	85030	270	85280	490	44.09	0.83	38.79	0.3	50.3	1.7	31.5	0.18	78.739999999999995	0.4	37.89	0.25	38.6	0.37	39.1	0.52	36.18	0.2	38.26	0.24	35.520000000000003	0.33	36.71	0.28999999999999998	38.549999999999997	0.26	FILENAME: Nist 612 - 1.csv	NA	NA
G_NIST612_GeoREM_2	Nist 612 - 2.d	03/03/2017 (6) 11:46:41.00	03/03/2017 (6)	1899-12-31T11:46:41Z	31.832	Nist 612 - 2.d	5440000	230000	40.18	0.25	68.099999999999994	0.62	10732	34	61.81	0.57999999999999996	84780	320	85380	490	43.61	0.92	38.81	0.3	49.6	1.9	31.31	0.22	78.08	0.39	38	0.28999999999999998	38.49	0.31	39.340000000000003	0.49	35.86	0.2	38.54	0.23	35.54	0.3	36.64	0.26	38.44	0.24	FILENAME: Nist 612 - 2.csv	NA	NA
G_NIST612_GeoREM_3	Nist 612 - 3.d	03/03/2017 (6) 11:48:15.00	03/03/2017 (6)	1899-12-31T11:48:15Z	31.831	Nist 612 - 3.d	5400000	230000	40.35	0.35	68.05	0.52	10780	48	62.39	0.69	85420	330	85090	420	44.33	0.98	38.74	0.33	52.3	1.4	31.42	0.22	78.69	0.42	37.880000000000003	0.24	38.770000000000003	0.37	39.47	0.39	36.01	0.2	38.549999999999997	0.24	35.74	0.3	36.74	0.24	38.86	0.31	FILENAME: Nist 612 - 3.csv	NA	NA
G_NIST612_GeoREM_4	Nist 612 - 4.d	03/03/2017 (6) 12:16:51.00	03/03/2017 (6)	1899-12-31T12:16:51Z	31.833	Nist 612 - 4.d	5380000	230000	40.299999999999997	0.35	68.03	0.46	10737	46	62.57	0.93	84840	410	84610	480	43.96	0.95	38.6	0.36	50.8	1.7	31.43	0.19	78.290000000000006	0.44	37.909999999999997	0.27	38.57	0.32	39.229999999999997	0.44	35.869999999999997	0.22	38.22	0.22	35.44	0.27	36.630000000000003	0.28000000000000003	38.61	0.21	FILENAME: Nist 612 - 4.csv	NA	NA
G_NIST612_GeoREM_5	Nist 612 - 5.d	03/03/2017 (6) 12:18:31.00	03/03/2017 (6)	1899-12-31T12:18:31Z	31.833	Nist 612 - 5.d	5290000	220000	39.9	0.37	67.86	0.54	10730	47	62.5	1.3	84930	370	84880	520	44	1.2	38.36	0.32	50	1.8	31.29	0.24	78.36	0.47	37.880000000000003	0.28000000000000003	38.549999999999997	0.34	39.22	0.44	35.9	0.22	38.33	0.25	35.25	0.27	36.75	0.24	38.299999999999997	0.23	FILENAME: Nist 612 - 5.csv	NA	NA
G_NIST612_GeoREM_6	Nist 612 - 6.d	03/03/2017 (6) 12:20:04.00	03/03/2017 (6)	1899-12-31T12:20:04Z	31.832	Nist 612 - 6.d	5350000	230000	40.340000000000003	0.34	68.17	0.63	10757	47	62.1	1	85220	310	85020	420	44.02	0.9	38.83	0.34	51.9	1.7	31.31	0.23	78.400000000000006	0.42	37.78	0.25	38.659999999999997	0.28999999999999998	39.450000000000003	0.43	36.1	0.22	38.5	0.2	35.64	0.3	36.700000000000003	0.25	38.85	0.28999999999999998	FILENAME: Nist 612 - 6.csv	NA	NA
G_NIST612_GeoREM_7	Nist 612 - 7.d	03/03/2017 (6) 12:50:11.00	03/03/2017 (6)	1899-12-31T12:50:11Z	31.832	Nist 612 - 7.d	5450000	230000	40.15	0.36	68.430000000000007	0.57999999999999996	10735	46	62.18	0.67	85000	330	85000	470	44	1.1000000000000001	38.799999999999997	0.35	50.9	1.8	31.44	0.23	78.06	0.5	38.04	0.27	38.6	0.28999999999999998	38.979999999999997	0.43	36.01	0.23	38.28	0.24	35.21	0.36	36.69	0.28999999999999998	38.85	0.31	FILENAME: Nist 612 - 7.csv	NA	NA
G_NIST612_GeoREM_8	Nist 612 - 8.d	03/03/2017 (6) 12:51:49.00	03/03/2017 (6)	1899-12-31T12:51:49Z	31.832	Nist 612 - 8.d	5440000	240000	40.229999999999997	0.32	68.069999999999993	0.46	10782	44	62.47	0.57999999999999996	84990	290	84600	460	43.9	1.1000000000000001	38.46	0.27	51.5	1.7	31.43	0.22	78.42	0.42	37.81	0.26	38.520000000000003	0.34	39.700000000000003	0.44	35.869999999999997	0.23	38.29	0.22	35.729999999999997	0.25	36.74	0.25	38.54	0.35	FILENAME: Nist 612 - 8.csv	NA	NA
G_NIST612_GeoREM_9	Nist 612 - 9.d	03/03/2017 (6) 12:53:28.00	03/03/2017 (6)	1899-12-31T12:53:28Z	31.832	Nist 612 - 9.d	5460000	230000	40.21	0.37	67.510000000000005	0.43	10737	43	62.15	0.73	85140	370	85290	480	44.05	0.96	38.74	0.3	50.2	2	31.37	0.2	78.47	0.45	38.049999999999997	0.27	38.68	0.36	39.17	0.46	36.340000000000003	0.21	38.72	0.24	35.520000000000003	0.36	36.65	0.3	38.479999999999997	0.28999999999999998	FILENAME: Nist 612 - 9.csv	NA	NA
G_NIST612_GeoREM_10	Nist 612 - 10.d	03/03/2017 (6) 13:25:12.00	03/03/2017 (6)	1899-12-31T13:25:12Z	31.832	Nist 612 - 10.d	5740000	250000	40.159999999999997	0.38	67.59	0.59	10745	51	62.23	0.77	85130	390	85090	470	44	1.1000000000000001	39.07	0.37	51.7	1.7	31.57	0.25	78.2	0.49	37.72	0.27	38.65	0.42	38.979999999999997	0.54	35.96	0.23	38.35	0.25	35.090000000000003	0.34	36.71	0.27	38.44	0.34	FILENAME: Nist 612 - 10.csv	NA	NA
